#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
19iehpgd3kfktnalws019ieh14oysl9g,10005660,Mark,1,5,3,5,Was not shown connection speed.,completed,30/03/2023 10:00,,30/03/2023 10:02,f0f0240483
0hnicf3zfr78bh4snu8nf0hnic1jkb8i,10005471,Callum,1,5,5,5,they were really good. the best service,completed,29/03/2023 13:33,,29/03/2023 13:34,f0f0240483
p5wphdcs1au6qjfzpop5wphdygq1wow2,10005656,Paul,1,5,5,5,He was very satisfactory,completed,29/03/2023 09:45,,29/03/2023 09:48,f0f0240483
sis7nexn625sprwrpzbsis7nexvmbijt,10005646,Anthony,1,5,5,5,When it was originally installed i thought it was through freedom fibre but it was through BT,completed,29/03/2023 09:40,,29/03/2023 09:42,f0f0240483
29ursmii31zmi27b29ursahh7j417g4q,10005641,Paul,1,4,5,5,"Not on the install, i have been wondering how much of a difference will it actual make",completed,29/03/2023 09:36,,29/03/2023 09:38,f0f0240483
lgu4wxrk9jhtllgu4w0ay1q9vhywia0f,10005640,Anthony,1,5,5,5,Everything went well,completed,29/03/2023 09:29,,29/03/2023 09:30,f0f0240483
ea1gbmnssjrpvpm315zea1gpva0mbvis,10005474,Brandon,1,5,5,5,They were very plesent young,completed,29/03/2023 09:26,,29/03/2023 09:27,f0f0240483
qlpdzpnabz47thwqlpdzadnw7yp1rq3b,10005084,Brandon,1,5,5,5,No,completed,28/03/2023 13:27,,28/03/2023 13:28,f0f0240483
30b1c8028c89fw3m2is8ri5mdssm2is8,10005619,Daniel,1,5,5,5,Absolutely Brilliant,completed,28/03/2023 09:56,,28/03/2023 09:57,f0f0240483
yzzrdfc5h0yow9q3yzzr7xpe7u2pjhdt,10005618,Anthony,1,5,5,5,No,completed,28/03/2023 09:54,,28/03/2023 09:55,f0f0240483
j60k3nzd86zeqrk1qj60k1una1ex2h02,10005594,Mark,1,5,5,5,Really nice blokes,completed,27/03/2023 13:26,,27/03/2023 13:27,f0f0240483
xzieikweyvzpl6ywpqxxzieikw808pxm,10005601,Daniel,1,5,5,5,Since it Been installed ive noticed its dropping,completed,27/03/2023 13:23,,27/03/2023 13:25,f0f0240483
2ar477926e8hqdauw2za2ar47zdrk4h2,10005749,Mark,1,5,5,5,Everything is fine,completed,27/03/2023 09:56,,27/03/2023 09:58,f0f0240483
qlwgfezk9t9doqlwg1cboo65567ct96e,10005600,Anthony ,0,5,5,5,Really satisfied,completed,27/03/2023 09:41,,27/03/2023 09:44,f0f0240483
w6e0plv4zo3wf24vj5l522w6e0p9gnow,10005448,Brandon,1,4,1,1,Speeds are worse than they've ever been. the engineer was lovely and clean.,completed,27/03/2023 09:38,,27/03/2023 09:40,f0f0240483
27vhrcf59fbxfjv27vhrqssdyx4xq4cv,144083621,Anthony ,1,4,5,4,the leads between the router and connecter dont stretch along with the power cable and ethernet cable re all too small,completed,25/03/2023 10:58,,25/03/2023 10:59,f0f0240483
